PERIODO_DIAGNOSTICO,ESTABLECIMIENTO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,FECHA_CORTE,DIAGNOSTICOS_CIE,CATEGORIA_DIAGNOSTICO,TOTAL_PACIENTES,GRUPOS_POR_EDAD,SEXO
202301,HOSPITAL NACIONAL ARZOBISPO LOAYZA,LIMA,LIMA,LIMA,150101,20230615,INFECCIÓN POR SALMONELLA,OTRAS INFECCIONES DEBIDAS A SALMONELLA,1,DE 25 A 29 AÑOS,FEMENINO
202301,HOSPITAL NACIONAL ARZOBISPO LOAYZA,LIMA,LIMA,LIMA,150101,20230615,OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS,OTRAS INFECCIONES INTESTINALES BACTERIANAS,1,MENORES DE 1 AÑO,FEMENINO
202301,HOSPITAL NACIONAL ARZOBISPO LOAYZA,LIMA,LIMA,LIMA,150101,20230615,ABSCESO AMEBIANO DEL PULMÓN,AMEBIASIS,2,DE 60 A 64 AÑOS,MASCULINO
202301,HOSPITAL NACIONAL ARZOBISPO LOAYZA,LIMA,LIMA,LIMA,150101,20230615,"AMEBIASIS, NO ESPECIFICADA",AMEBIASIS,1,DE 65 AÑOS A MÁS,MASCULINO
202301,HOSPITAL NACIONAL ARZOBISPO LOAYZA,LIMA,LIMA,LIMA,150101,20230615,GIARDIASIS [LAMBLIASIS],OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,2,DE 5 A 9 AÑOS,FEMENINO
202301,HOSPITAL NACIONAL ARZOBISPO LOAYZA,LIMA,LIMA,LIMA,150101,20230615,GIARDIASIS [LAMBLIASIS],OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,1,DE 50 A 54 AÑOS,MASCULINO
202301,HOSPITAL NACIONAL ARZOBISPO LOAYZA,LIMA,LIMA,LIMA,150101,20230615,GIARDIASIS [LAMBLIASIS],OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,1,DE 35 A 39 AÑOS,MASCULINO
202301,HOSPITAL NACIONAL ARZOBISPO LOAYZA,LIMA,LIMA,LIMA,150101,20230615,GIARDIASIS [LAMBLIASIS],OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,1,DE 1 A 4 AÑOS,MASCULINO
202301,HOSPITAL NACIONAL ARZOBISPO LOAYZA,LIMA,LIMA,LIMA,150101,20230615,GIARDIASIS [LAMBLIASIS],OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,2,DE 60 A 64 AÑOS,FEMENINO
202301,HOSPITAL NACIONAL ARZOBISPO LOAYZA,LIMA,LIMA,LIMA,150101,20230615,OTRAS GASTROENTERITIS Y COLITIS NO ESPECIFICADAS DE ORIGEN INFECCIOSO,DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO,2,DE 60 A 64 AÑOS,FEMENINO
